position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Gabriel Boric,Q16297876,2022-03-11,male,1986-02-11,,Retrato Oficial Presidente Boric Font.jpg,Gabriel Boric
Minister of Agriculture,Esteban Valenzuela,Q5400841,2022-03-11,male,1964-03-12,,Esteban Valenzuela Van Treek 2013.jpg,Esteban Valenzuela
Minister of Culture and the Arts,Julieta Brodsky,Q110645571,2022-03-11,female,1983-10-30,,Ministra Julieta Brodsky.jpg,Julieta Brodsky
"Minister of Economy, Development and Tourism",Nicolás Grau,Q110636257,2022-03-11,male,1983-04-09,,Nicolás Grau Veloso (2022).jpg,Nicolás Grau
Minister of Education,Marco Antonio Ávila,Q110636393,2022-03-11,male,1977-08-30,,Ministro Marco Antonio Ávila.jpg,Marco Antonio Ávila
Minister of Energy,Claudio Huepe Minoletti,Q110640779,2022-03-11,male,1966-08-07,,Claudio Huepe 2022.png,Claudio Huepe Minoletti
Minister of the Environment,Maisa Rojas,Q47538727,2022-03-11,female,1972-08-10,,"Maisa Rojas, 2022.png",Maisa Rojas
Minister of Finance,Mario Marcel,Q5998841,2022-03-11,male,1959-10-22,,Ministro de Hacienda Mario Marcel Cullell (2022).jpg,Mario Marcel
Minister of Foreign Affairs,Antonia Urrejola,Q75836988,2022-03-11,female,1968-11-13,,Antonia Urrejola 2022.jpg,Antonia Urrejola
Minister of Health,María Begoña Yarza,Q110639253,2022-03-11,female,1964-02-20,,Ministra María Begoña Yarza.jpg,María Begoña Yarza
Minister of Housing and Urbanism,Carlos Montes Cisternas,Q5751049,2022-03-11,male,1946-05-11,,Carlos Montes Cisternas.jpg,Carlos Montes Cisternas
Minister of the Interior and Public Security,Izkia Siches,Q88030581,2022-03-11,female,1986-03-04,,"Izkia Siches' Official Portrait, 2022.jpg",Izkia Siches
Minister of Justice and Human Rights,Marcela Ríos,Q110640448,2022-03-11,female,1966-12-14,,Ministra Marcela Ríos.jpg,Marcela Ríos
Minister of Labour,Jeannette Jara,Q110103620,2022-03-11,female,1974-04-23,,"Jeannette Jara, 2022.png",Jeannette Jara
Minister of Mining,Marcela Hernando,Q5995515,2022-03-11,female,1960-02-12,,Ministra Marcela Hernando.jpg,Marcela Hernando
Minister of National Assets,Javiera Toro Cáceres,Q103838952,2022-03-11,female,1987-10-10,,Ministra Javiera Toro.jpg,Javiera Toro Cáceres
Minister of National Defence,Maya Fernández,Q5818156,2022-03-11,female,1971-09-27,,Maya Fernández 2022.jpg,Maya Fernández
Minister of Public Works,Juan Carlos García Pérez de Arce,Q110664149,2022-03-11,male,1971-01-03,,Juan Carlos Garcia 2022.png,Juan Carlos García Pérez de Arce
"Minister of Science, Technology, Knowledge and Innovation",Flavio Salazar,Q88222842,2022-03-11,male,1965-10-07,,Flavio Salazar 2022.png,Flavio Salazar
Minister of Social Development and Family,Jeannette Vega,Q110640365,2022-03-11,female,1957-10-11,,Ministra Jeanette Vega.jpg,Jeannette Vega
Minister of Sport,Alexandra Benado,Q110636091,2022-03-11,female,1976-05-11,,"Ministra del Deporte, Alexandra Benado Vergara (2022).jpg",Alexandra Benado
Minister of Transport and Telecommunications,Juan Carlos Muñoz,Q110636946,2022-03-11,male,1970-06-22,,Ministro Juan Carlos Muñoz.jpg,Juan Carlos Muñoz Abogabir
Minister for Women,Antonia Orellana,Q110637131,2022-03-11,female,1989-12-21,,Antonia Orellana 2021.jpg,Antonia Orellana
Secretary General of Government,Camila Vallejo,Q242230,2022-03-11,female,1988-04-28,,Ministra Camila Vallejo.jpg,Camila Vallejo
Secretary General of the Presidency,Giorgio Jackson,Q5880050,2022-03-11,male,1987-02-06,,Ministro Giorgio Jackson.jpg,Giorgio Jackson
President of the Chamber of Deputies,Raúl Soto,Q57601220,2022-03-11,male,1987-11-20,,Raúl Humberto Soto Mardones (2018).jpg,Raúl Soto
President of the Senate,Álvaro Elizalde,Q16298964,2022-03-11,male,1969-10-15,,"Álvaro Elizalde, Ministro Segegob.jpg",Álvaro Elizalde
President of the Central Bank,Rosanna Costa,Q6112329,2022-02-03,female,1957-12-06,,Rosanna Costa (32059708224).jpg,Rosanna Costa
Head of the Joint Chiefs of Defence,Guillermo Paiva Hernández,Q111198940,2022-03-09,male,,,,
Commander-in-Chief of the Army,Javier Iturriaga del Campo,Q74246258,2022-03-09,male,1965-10-26,,General de División Javier Iturriaga del Campo (2020).jpg,Javier Iturriaga del Campo
Mayor of Santiago,Irací Hassler,Q106866749,2021-06-28,female,1990-11-06,,Iraci Hassler Jacob.jpg,Irací Hassler
