@@,item,itemlabel,positionlabel,startdate,enddate
->,Q88222842,Flavio Salazar->Flavio Salazar Onfray,"ministro de Ciencia, Tecnología, Conocimiento e Innovación->Ciencia, Tecnología,Conocimiento e Innovación",2022-03-11,
->,Q88030581,Izkia Siches->Izkia Siches Pastén,ministro del Interior y Seguridad Pública de Chile->Interior y Seguridad Pública,2022-03-11,
->,Q75836988,Antonia Urrejola->Antonia Urrejola Noguera,ministro de Relaciones Exteriores de Chile->Relaciones Exteriores,2022-03-11,
->,Q5998841,Mario Marcel->Mario Marcel Cullell,ministro de Hacienda de Chile->Hacienda,2022-03-11,
->,Q5995515,Marcela Hernando->Marcela Hernando Pérez,ministro de Minería de Chile->Minería,2022-03-11,
->,Q5880050,Giorgio Jackson->Giorgio Jackson Drago,ministro secretario general de la Presidencia de Chile->Secretaría General de la Presidencia,2022-03-11,
->,Q5818156,Maya Fernández->Maya Fernández Allende,ministro de Defensa Nacional de Chile->Defensa Nacional,2022-03-11,
->,Q5751049,Carlos Montes Cisternas,ministro de Vivienda y Urbanismo de Chile->Vivienda y Urbanismo,2022-03-11,
->,Q5400841,Esteban Valenzuela->Esteban Valenzuela Van Treek,ministro de Agricultura de Chile->Agricultura,2022-03-11,
->,Q47538727,Maisa Rojas->Maisa Rojas Corradi,ministro del Medio Ambiente de Chile->Medio Ambiente,2022-03-11,
->,Q242230,Camila Vallejo->Camila Vallejo Dowling,ministro secretario general de Gobierno de Chile->Secretaría General de Gobierno,2022-03-11,
->,Q110664149,Juan Carlos García Pérez de Arce,ministro de Obras Públicas de Chile->Obras Públicas,2022-03-11,
->,Q110645571,Julieta Brodsky->Julieta Brodsky Hernández,"ministro de las Culturas, las Artes y el Patrimonio de Chile->Culturas, las Artes y el Patrimonio",2022-03-11,
->,Q110640779,Claudio Huepe Minoletti,ministro de Energía de Chile->Energía,2022-03-11,
->,Q110640448,Marcela Ríos->Marcela Ríos Tobar,ministro de Justicia y Derechos Humanos de Chile->Justicia y Derechos Humanos,2022-03-11,
->,Q110640365,Jeannette Vega->Jeanette Vega Morales,ministro de Desarrollo Social y Familia de Chile->Desarrollo Social y Familia,2022-03-11,
->,Q110639253,María Begoña Yarza->María Begoña Yarza Sáez,ministro de Salud de Chile->Salud,2022-03-11,
->,Q110637131,Antonia Orellana->Antonia Orellana Guarello,ministra de la Mujer y la Equidad de Género de Chile->Mujer y la Equidad de Género,2022-03-11,
->,Q110636946,Juan Carlos Muñoz->Juan Carlos Muñoz Abogabir,ministro de Transportes y Telecomunicaciones de Chile->Transporte y Telecomunicaciones,2022-03-11,
->,Q110636393,Marco Antonio Ávila->Marco Antonio Ávila Lavanal,ministro de Educación de Chile->Educación,2022-03-11,
->,Q110636257,Nicolás Grau->Nicolás Grau Veloso,"ministro de Economía, Fomento y Turismo de Chile->Economía, Fomento y Turismo",2022-03-11,
->,Q110636091,Alexandra Benado->Alexandra Benado Vergara,ministro del Deporte de Chile->Deporte,2022-03-11,
->,Q110103620,Jeannette Jara->Jeannette Jara Román,ministro del Trabajo y Previsión Social de Chile->Trabajo y Previsión Social,2022-03-11,
->,Q103838952,Javiera Toro Cáceres,ministro de Bienes Nacionales de Chile->Bienes Nacionales,2022-03-11,
