item,itemLabel,startDate,endDate,positionLabel
Q88030581,Izkia Siches Pastén,2022-03-11,,Interior y Seguridad Pública
Q75836988,Antonia Urrejola Noguera,2022-03-11,,Relaciones Exteriores
Q5818156,Maya Fernández Allende,2022-03-11,,Defensa Nacional
Q5998841,Mario Marcel Cullell,2022-03-11,,Hacienda
Q5880050,Giorgio Jackson Drago,2022-03-11,,Secretaría General de la Presidencia
Q242230,Camila Vallejo Dowling,2022-03-11,,Secretaría General de Gobierno
Q110636257,Nicolás Grau Veloso,2022-03-11,,"Economía, Fomento y Turismo"
Q110640365,Jeanette Vega Morales,2022-03-11,,Desarrollo Social y Familia
Q110636393,Marco Antonio Ávila Lavanal,2022-03-11,,Educación
Q110640448,Marcela Ríos Tobar,2022-03-11,,Justicia y Derechos Humanos
Q110103620,Jeannette Jara Román,2022-03-11,,Trabajo y Previsión Social
Q110664149,Juan Carlos García Pérez de Arce,2022-03-11,,Obras Públicas
Q110639253,María Begoña Yarza Sáez,2022-03-11,,Salud
Q5751049,Carlos Montes Cisternas,2022-03-11,,Vivienda y Urbanismo
Q5400841,Esteban Valenzuela Van Treek,2022-03-11,,Agricultura
Q5995515,Marcela Hernando Pérez,2022-03-11,,Minería
Q110636946,Juan Carlos Muñoz Abogabir,2022-03-11,,Transporte y Telecomunicaciones
Q103838952,Javiera Toro Cáceres,2022-03-11,,Bienes Nacionales
Q110640779,Claudio Huepe Minoletti,2022-03-11,,Energía
Q47538727,Maisa Rojas Corradi,2022-03-11,,Medio Ambiente
Q110636091,Alexandra Benado Vergara,2022-03-11,,Deporte
Q110637131,Antonia Orellana Guarello,2022-03-11,,Mujer y la Equidad de Género
Q110645571,Julieta Brodsky Hernández,2022-03-11,,"Culturas, las Artes y el Patrimonio"
Q88222842,Flavio Salazar Onfray,2022-03-11,,"Ciencia, Tecnología,Conocimiento e Innovación"
