@@,wdid,name,position
->,Q922795,Roberto Ampuero,minister of Foreign Affairs of Chile->Foreign Affairs
->,Q7030399,Nicolás Monckeberg,Minister of Labour->Labor
->,Q60032521,Emilio Santelices,Chilean minister of Health->Health
->,Q59797711,Antonio Walker,Agriculture minister of Chile->Agriculture
->,Q5881260,Gloria Hutt,Transport and Telecommunications Minister of Chile->Transport &Telecom
->,Q5858275,Felipe Larraín Bascuñán->Felipe Larraín,Minister of Finance - Chile->Finance
->,Q58009685,José Ramón Valente Vias->José Ramón Valente,NULL->Economy
->,Q5742466,Hernán Larraín,Minister of Justice and Human Rights->Justice
->,Q5663007,Alberto Espina,minister of National Defence of Chile->Defense
->,Q56167729,Pauline Kantor,sports minister of Chile->Sports
->,Q56037180,Alejandra Pérez->Alejandra Pérez Lecaros,NULL->Culture & theArts
->,Q55767801,Gerardo Varela,Minister of Education of Chile->Education
->,Q4760169,Andrés Chadwick,Interior and Public Security Minister of Chile->Interior
->,Q47509510,Isabel Plá,NULL->Women
---,Q96254224,Enrique Paris,Chilean minister of Health
---,Q9015138,Juan Andrés Fontaine Talavera,Minister of Public Works of Chile
---,Q9015138,Juan Andrés Fontaine Talavera,
---,Q88996421,Juan José Ossa,Minister Secretary General of the Presidency of Chile
---,Q734056,Carolina Schmidt,Environment Minister
---,Q72753586,María José Zaldivar,Minister of Labour
---,Q72749842,Ignacio Briones,Minister of Finance - Chile
---,Q72724393,Julio Isamit,minister of National Assets of Chile
---,Q6165698,Víctor Pérez Varela,Interior and Public Security Minister of Chile
---,Q6066731,Patricio Melero,Minister of Labour
---,Q5998614,Mario Desbordes,minister of National Defence of Chile
---,Q5995504,Marcela Cubillos,Minister of Education of Chile
---,Q5995504,Marcela Cubillos,Environment Minister
---,Q5988683,Macarena Santelices,
---,Q59821999,Andrés Couve,"Minister of Science, Technology, Knowledge and Innovation"
---,Q5958343,Karla Rubilar,minister Secretary General of Government of Chile
---,Q5958343,Karla Rubilar,Minister of Social Development and Family (Chile)
---,Q5858483,Felipe Ward,Minister Secretary General of the Presidency of Chile
---,Q5858483,Felipe Ward,Minister of Housing and Urbanism of Chile
---,Q5858483,Felipe Ward,minister of National Assets of Chile
---,Q58293,Alfredo Moreno,Minister of Social Development and Family (Chile)
---,Q58293,Alfredo Moreno,Minister of Social Development of Chile
---,Q58293,Alfredo Moreno,Minister of Public Works of Chile
---,Q5791610,Cristián Monckeberg,Minister of Social Development and Family (Chile)
---,Q5791610,Cristián Monckeberg,Minister Secretary General of the Presidency of Chile
---,Q5791610,Cristián Monckeberg,Minister of Housing and Urbanism of Chile
---,Q5771849,Claudio Alvarado,Minister Secretary General of the Presidency of Chile
---,Q5640564,Cecilia Pérez,sports minister of Chile
---,Q5640564,Cecilia Pérez,minister Secretary General of Government of Chile
---,Q56072569,Consuelo Valdés,
---,Q55640611,Sebastián Sichel,Minister of Social Development and Family (Chile)
---,Q50820982,Raúl Figueroa,Minister of Education of Chile
---,Q50532720,Gonzalo Blumel,Minister Secretary General of the Presidency of Chile
---,Q50532720,Gonzalo Blumel,Interior and Public Security Minister of Chile
---,Q501752,Teodoro Ribera,minister of Foreign Affairs of Chile
---,Q4850447,Baldo Prokurica,minister of National Defence of Chile
---,Q4850447,Baldo Prokurica,
---,Q4760139,Andrés Allamand,minister of Foreign Affairs of Chile
---,Q3486821,Jaime Mañalich,Chilean minister of Health
---,Q2396467,Mauricio Rojas,
---,Q16625878,Rodrigo Delgado,Interior and Public Security Minister of Chile
---,Q16584439,Juan Carlos Jobet,
---,Q16584439,Juan Carlos Jobet,Minister of Energy (Chile)
---,Q16302468,Mónica Zalaquett,
---,Q16297719,Jaime Bellolio,minister Secretary General of Government of Chile
---,Q104795337,María Emilia Undurraga,Agriculture minister of Chile
---,Q102217865,Rodrigo Cerda Norambuena,Minister of Finance - Chile
+++,Q9015138,Juan Andrés Fontaine,Public Works
+++,Q64596365,Susana Jiménez Schuster,Energy
+++,Q5995504,Marcela Cubillos,Environment
+++,Q5858483,Felipe Ward,National Assets
+++,Q58293,Alfredo Moreno Charme,SocialDevelopment
+++,Q5791610,Cristián Monckeberg,Housing &Urbanism
+++,Q5640564,Cecilia Pérez,Gen. Sec. ofGovernment
+++,Q50532720,Gonzalo Blumel,Gen. Sec. of thePresidency
+++,Q4850447,Baldo Prokurica,Mining
+++,,Sebastián Piñera,President
