name,wdid,startDate,endDate,position
Sebastián Piñera,,2018-03-11,2022-03-11,President
Andrés Chadwick,Q4760169,2018-03-11,2019-10-28,Interior
Gonzalo Blumel,Q50532720,2019-10-28,2020-07-28,Interior
Víctor Pérez,Q6165698,2020-07-28,2020-11-03,Interior
Rodrigo Delgado,Q16625878,2020-11-04,2022-03-11,Interior
Roberto Ampuero,Q922795,2018-03-11,2019-06-13,Foreign Affairs
Teodoro Ribera,Q501752,2019-06-13,2020-07-28,Foreign Affairs
Andrés Allamand,Q4760139,2020-07-28,2022-02-06,Foreign Affairs
Carolina Valdivia,Q78097168,2022-02-06,2022-03-11,Foreign Affairs
Alberto Espina,Q5663007,2018-03-11,2020-07-28,Defense
Mario Desbordes,Q5998614,2020-07-28,2020-12-18,Defense
Baldo Prokurica,Q4850447,2020-12-18,2022-03-11,Defense
Felipe Larraín,Q5858275,2018-03-11,2019-10-28,Finance
Ignacio Briones,Q72749842,2019-10-28,2021-01-26,Finance
Rodrigo Cerda,Q102217865,2021-01-26,2022-03-11,Finance
Gonzalo Blumel,Q50532720,2018-03-11,2019-10-28,Gen. Sec. of thePresidency
Felipe Ward,Q5858483,2019-10-28,2020-06-04,Gen. Sec. of thePresidency
Claudio Alvarado,Q5771849,2020-06-04,2020-07-28,Gen. Sec. of thePresidency
Cristián Monckeberg,Q5791610,2020-07-28,2021-01-06,Gen. Sec. of thePresidency
Cecilia Pérez,Q5640564,2018-03-11,2019-10-28,Gen. Sec. ofGovernment
Karla Rubilar,Q5958343,2019-10-28,2020-07-28,Gen. Sec. ofGovernment
Jaime Bellolio,Q16297719,2020-07-28,2022-03-11,Gen. Sec. ofGovernment
José Ramón Valente,Q58009685,2018-03-11,2019-06-13,Economy
Juan Andrés Fontaine,Q9015138,2019-06-13,2019-10-28,Economy
Lucas Palacios,Q72869572,2019-10-28,2022-03-11,Economy
Alfredo Moreno Charme,Q58293,2018-03-11,2019-06-13,SocialDevelopment
Sebastián Sichel,Q55640611,2019-06-13,2020-06-04,SocialDevelopment
Cristián Monckeberg,Q5791610,2020-06-04,2020-07-20,SocialDevelopment
Karla Rubilar,Q5958343,2020-07-28,2022-03-11,SocialDevelopment
Gerardo Varela,Q55767801,2018-03-11,2018-08-09,Education
Marcela Cubillos,Q5995504,2018-08-19,2020-02-28,Education
Raúl Figueroa,Q50820982,2020-02-28,2022-03-11,Education
Hernán Larraín,Q5742466,2018-03-11,2022-03-11,Justice
Nicolás Monckeberg,Q7030399,2018-03-11,2019-10-28,Labor
María José Zaldívar,Q72753586,2019-10-28,2021-04-07,Labor
Patricio Melero,Q6066731,2021-04-07,2022-03-11,Labor
Juan Andrés Fontaine,Q9015138,2018-03-11,2019-06-13,Public Works
Alfredo Moreno Charme,Q58293,2019-06-13,2022-03-11,Public Works
Emilio Santelices,Q60032521,2018-03-11,2019-06-13,Health
Jaime Mañalich,Q3486821,2019-06-13,2020-06-13,Health
Enrique Paris,Q96254224,2020-06-13,2022-03-11,Health
Cristián Monckeberg,Q5791610,2018-03-11,2020-06-04,Housing &Urbanism
Felipe Ward,Q5858483,2020-06-04,2022-03-11,Housing &Urbanism
Antonio Walker,Q59797711,2018-03-11,2019-10-28,Agriculture
María Emilia Undurraga,Q104795337,2021-01-06,2022-03-11,Agriculture
Baldo Prokurica,Q4850447,2018-03-11,2020-12-18,Mining
Juan Carlos Jobet,Q16584439,2020-12-18,2022-03-11,Mining
Gloria Hutt,Q5881260,2018-03-11,2022-03-11,Transport &Telecom
Felipe Ward,Q5858483,2018-03-11,2019-10-28,National Assets
Julio Isamit,Q72724393,2019-10-28,2022-03-11,National Assets
Susana Jiménez Schuster,Q64596365,2018-03-11,2019-06-13,Energy
Juan Carlos Jobet,Q16584439,2019-06-13,2022-03-11,Energy
Marcela Cubillos,Q5995504,2018-03-11,2018-08-09,Environment
Carolina Schmidt,Q734056,2018-08-09,2021-11-22,Environment
Javier Naranjo Solano,Q88987534,2021-11-23,2022-03-11,Environment
Isabel Plá,Q47509510,2018-03-11,2020-03-13,Women
Carolina Cuevas Merino,Q87086583,2020-03-13,2020-05-06,Women
Macarena Santelices,Q5988683,2020-05-06,2020-06-09,Women
Mónica Zalaquett,Q16302468,2020-06-09,2022-03-11,Women
Alejandra Pérez Lecaros,Q56037180,2018-03-11,2018-08-09,Culture & theArts
Mauricio Rojas,Q2396467,2018-08-09,2018-08-13,Culture & theArts
Consuelo Valdés,Q56072569,2018-08-13,2022-03-11,Culture & theArts
Pauline Kantor,Q56167729,2018-03-11,2019-10-28,Sports
Cecilia Pérez,Q5640564,2019-10-28,2022-03-11,Sports
